name,ring,quadrant,isNew,description
Data Mesh,Assess,Platforms,TRUE,
Permit.io,Trial,Tools,TRUE,Permission system
Data Mesh,Trial,Techniques,TRUE,"Data Mesh is a relatively new architectural paradigm for designing data platforms and data intensive applications. It proposes a decentralized and domain-oriented approach to data architecture, where data ownership and governance are distributed across the organizations various domains."
.NET Full Framework,Hold,Languages & Frameworks,FALSE,.Net Framework is a development framwork best suited for windows runtimes. The Full Framework is common in Legacy windows application. We should avoid building anything new using .Net Full Framwork
.NET Core,Adopt,Languages & Frameworks,FALSE,.Net Core is a framework that can be run on most operating systesm today and is a modern framework for supporting micro services architectures. C# is the most common language used. At SignifyHealth this is a benmark and standard language. We will continue to leverage .Net Core and C# in our future systems to reach out business vision.
SQL Server,Adopt,Platforms,FALSE,"MSSQL is a relational database tool that is heaviliy used in the industry. We have leverage this on applications that are data heavy and require support from 3rd parties to trouble shoot incidents, this acts as a safety blank of sorts."
OAuth | OIDC,Adopt,Languages & Frameworks,FALSE,OAuth and OpenID Connect are authentication and authorization mechanisms suitable for Token based Identification.
Okta,Adopt,Platforms,FALSE,Okta Identity Cloud is an integrated identity solutino that securely connects the right peopl eto the right technology and provides incredible flexisbility in managing access in our company. It provides single sign on and with it users will be alble to log in once with a single ID and access various services on multiple applicaiotn without having to enter authentication details again. With Okta's Authentication API we can also secure our APIs and backends to make sure only authorized users and applications can access them.
Confluence,Adopt,Platforms,FALSE,"Confluence is a web-based collaborative platform that is used by engineering teams for knowledge sharing, documentation, and project management. Here are Signify Health it is our centeral repository for project related information and knowledge dumps for our teams."
REST,Adopt,Techniques,FALSE,"Repersentational State Transfer (REST) is a set of principles and constraints that govern the design and interaction of web services, with the goal of making them scalable, efficient and easy to maintain. Here at Signify Health this is our standard and is used to provide scalable and efficient ways to integrate our different systems and applications. "
Continuous Delivery,Adopt,Techniques,FALSE,Continuous Delivery is a practice which is about extending the Continuous Integration practive with testing and other forms of production readiness activities. The result is a package that can be deployed at any given time into production.
Continuous Deployment,Adopt,Techniques,FALSE,Continuous Deployment takes the automation one step further than Continue Delivery and automatically deploys the package to production. This means full automation from code to production.
Continuous Integration,Adopt,Techniques,FALSE,Continuous Integration is a practive which involes build automation and frequent integration of code from team members.
Dependency Injection,Adopt,Techniques,FALSE,"Dependency Injection (DI) is a pattern that allows object to be created and managed dynamically at runtime, rather than being created statically at compile time. It is used to manage object dependencies and improve code maintainability and testability. This a bedrock pattern at Signify Health to create modular and flexible code that is easier to test and maintain."
DevOps,Adopt,Techniques,FALSE,"DevOps is about, culture, practices and people. DevOps is how we see teams working with applications going forward. -- TODO -- find if there is any documentation on how we implement DevOps"
Domain-Driven Design,Adopt,Techniques,FALSE,"Domain-driven design (DDD) is an approach to software development that focuses on understanding and modeling the domain of a problem space, as well as the business needs and requirements of the stakeholders involved. It encourages collaboration between developers, domain experts, and other stakeholders to create a shared understanding of the domain and develop a flexible, scalable software architecture that supports changing business needs. DDD emphasizes the use of well-defined domain models, ubiquitous language, and bounded contexts to help ensure that software systems are developed in a way that reflects the real-world problem space and its complexities."
Automated Testing,Adopt,Techniques,FALSE,"Automated testing is a software testing technique where tools and scripts are used to execute predefined test cases automatically. This approach helps save time, improve accuracy, and provide faster feedback on software quality. Automated testing can be used for different types of testing, such as unit testing, integration testing, functional testing, and regression testing. This technique is widely used in modern software development, especially in agile and DevOps environments, to ensure rapid iteration and continuous delivery."
Business Process Modeling Notation (BPMN),Adopt,Techniques,FALSE,"Business Process Model and Notation (BPMN) is a graphical modeling language used to describe business processes and workflows. It provides a standardized way for different stakeholders to communicate and visualize business processes. In software engineering, BPMN is used to model and design software systems, especially those involving complex business processes. BPMN uses a set of graphical symbols and notation to represent different aspects of a business process, such as tasks, events, gateways, and flows. By using BPMN, software engineers can capture and document the business logic and workflows of the system, making it easier to understand, maintain, and update."
"UML (Sequence diagrams, Activity Diagrams)",Adopt,Techniques,FALSE,"Unified Modeling Language (UML) is a standardized visual modeling language used in software engineering to design, document, and communicate software systems. UML provides a set of graphical notations and symbols that can be used to represent different aspects of a software system, such as its structure, behavior, and interactions. UML is used at different stages of the software development lifecycle to create models and diagrams that can help developers and stakeholders understand and analyze software systems. Some of the most commonly used diagrams in UML include class diagrams, use case diagrams, sequence diagrams, and state diagrams. By using UML, software engineers can create models that can help them build higher quality and more maintainable software systems."
Microservices,Adopt,Techniques,FALSE,"Microservices is an architectural approach to software development that involves building an application as a suite of small, independent services, each with a specific business function. Each microservice is self-contained and can be deployed and managed independently of other services. Communication between services typically occurs over APIs or message queues. Microservices offer benefits such as increased flexibility, scalability, and resilience, as well as the ability to support continuous delivery and rapid iteration. However, they also require careful design and management, as well as additional overhead compared to a monolithic architecture."
Microfront Ends,Trial,Techniques,TRUE,"Micro frontends is an architectural approach for building web applications that involves breaking the user interface into smaller, loosely coupled components. Each component is developed and deployed independently, using different technologies and frameworks as needed, and can be integrated into the application as a whole. Micro frontends enable teams to work on different parts of the application without affecting other teams, and allow for more flexibility and faster iteration."
Events,Adopt,Techniques,FALSE,"Events refer to occurrences or changes within a system that trigger an action or a series of actions. Events can be external, such as user input, or internal, such as system errors or changes in data. Event-driven architecture (EDA) is an architectural pattern that uses events as the primary means of communication between different components of a system. In event-driven systems, components are designed to react to events by triggering specific actions, which can be handled by other components in the system."
